MLSNumber,MLS,FullAddress,City,StateOrProvince,PostalCode
5001,Apples,7499 Moorgate Point WAY ,Apples,FL,34113
5002,Apples,2529 Kings Lake BLVD ,Apples,FL,34112
5003,Apples,27241 High Seas LN ,BONITA SPRINGS,FL,34135
5004,Apples,8911 Verducci CT ,Apples,FL,34114
5005,Apples,29061 Marcello WAY ,Apples,FL,34110
5006,Apples,23 Johnnycake DR ,Apples,FL,34110
5007,Apples,26 Johnnycake DR ,Apples,FL,34110
5008,Apples,24 Johnnycake DR ,Apples,FL,34110
5009,Apples,22 Johnnycake DR ,Apples,FL,34110
5010,Apples,4395 Gordon DR ,Apples,FL,34102
5011,Apples,8163 Bibiana WAY 306,FORT MYERS,FL,33912
5012,Apples,370 6th AVE S ,Apples,FL,34102
5013,Apples,13925 Old Coast RD 1103,Apples,fl,34110
5014,Apples,1645 Ludlow RD ,MARCO ISLAND,FL,34145
5015,Apples,1787 Hummingbird CT ,MARCO ISLAND,FL,34145
5016,Apples,4931 Bonita Bay BLVD 1603,BONITA SPRINGS,FL,34134
5017,Apples,100 Stevens Landing DR 201,MARCO ISLAND,FL,34145
5018,Apples,2750 Gordon DR ,Apples,FL,34102
5019,Apples,1065 Borghese LN 1602,Apples,FL,34114
5020,Apples,2209 PINEWOODS CIR ,Apples,FL,34105-2541
5021,Apples,825 105th AVE N ,Apples,FL,34108
5022,Apples,7987 Estero BLVD ,FORT MYERS BEACH,FL,33931
5023,Apples,4931 Bonita Bay BLVD 1002,BONITA SPRINGS,FL,34134
5024,Apples,2634 14th AVE SE ,Apples,FL,34117
5025,Apples,7515 Pelican Bay BLVD 1F,Apples,FL,34108
5026,Apples,970 Cape Marco DR 2408,MARCO ISLAND,FL,34145
5027,Apples,747 Park Shore DR ,Apples,FL,34103
5028,Apples,13621 PONDVIEW CIR ,Apples,FL,34119
5029,Apples,1127 RIDGE ST ,Apples,FL,34103
5030,Apples,761 Willowbrook DR 1403,Apples,FL,34108
5031,Apples,110 Dominica LN ,BONITA SPRINGS,FL,34134
5032,Apples,1050 Borghese LN 1203,Apples,FL,34114
5033,Apples,29170 Positano LN ,Apples,FL,34110
5034,Apples,1034 Crystal Lake DR ,Apples,FL,34119
5035,Apples,891 norton creek RD SW ,MADISON,fl,32340
5036,Apples,176 Collier BLVD 904,MARCO ISLAND,FL,34145
5037,Apples,9082 Albion LN S 6701,Apples,FL,34113
5038,Apples,3000 Oasis Grand BLVD 2807,FORT MYERS,FL,33916
5039,Apples,800 Lambiance CIR 106,Apples,FL,34108
5040,Apples,5051 Pelican Colony BLVD 1904,BONITA SPRINGS,FL,34134
5041,Apples,1045 Sandpiper ST G-204,Apples,FL,34102
5042,Apples,168 Greenview ST ,MARCO ISLAND,FL,34145
5043,Apples,1141 Swallow AVE 4-402,MARCO ISLAND,FL,34145
5044,Apples,7731 Martino CIR ,Apples,FL,34112
5045,Apples,955 Royal Marco WAY ,MARCO ISLAND,FL,34145
5046,Apples,3940 Loblolly Bay Dr 204,Apples,FL,34114
5047,Apples,1234 Gordon River TRL ,Apples,FL,34105
5048,Apples,555 Admiralty Parade W ,Apples,FL,34102
5049,Apples,11006 Mill Creek WAY 2001,FORT MYERS,FL,33913
5050,Apples,1209 CORDOBA St E ,LEHIGH ACRES,FL,33974
5051,Apples,6561 Ridgewood DR ,Apples,FL,34108
5052,Apples,641 PALM CIR W ,Apples,FL,34102
5053,Apples,4140 Crayton RD D1,Apples,FL,34103
5054,Apples,1807 SNOOK DR ,Apples,FL,34102
5055,Apples,1065 Borghese LN 505,Apples,FL,34114
5056,Apples,4991 Bonita Bay BLVD PH 2602,BONITA SPRINGS,FL,34134
5057,Apples,4991 Bonita Bay Blvd 1002,BONITA SPRINGS,FL,34134
5058,Apples,4991 Bonita Bay Blvd 603,BONITA SPRINGS,FL,34134
5059,Apples,7020 Oakmont PKY ,Apples,FL,34108
5060,Apples,406 Heron AVE ,Apples,Fl,34108
5061,Apples,20411 Talon Trace ,ESTERO,FL,33928
5062,Apples,3602 treasure cove circle ,Apples,FL,34114
5063,Apples,4971 Bonita Bay Blvd 905,BONITA SPRINGS,FL,34134
5064,Apples,1081 Galleon DR ,Apples,FL,34102
5065,Apples,1680 Vinland WAY ,Apples,FL,34105
5066,Apples,835 11th AVE S ,Apples,FL,34102
5067,Apples,7543 Berkshire Pines DR ,Apples,FL,34104
5068,Apples,13925 Old Coast RD 1104,Apples,fl,34110
5069,Apples,838 Elkcam CIR 406,MARCO ISLAND,FL,34145
5070,Apples,2828 Wild Orchid CT ,Apples,FL,34119
5071,Apples,11515 Peregrine CT ,Apples,FL,34120
5072,Apples,655 16th AVE S ,Apples,FL,34102
5073,Apples,3292 Green Dolphin LN ,Apples,FL,34102
5074,Apples,965 Sandpiper ST J-103,Apples,FL,34102
5075,Apples,3047 Hudson TER ,Apples,FL,34119
5076,Apples,101 8th ST S 201,Apples,FL,34102
5077,Apples,9946 Montiano DR ,Apples,FL,34113
5078,Apples,3580 Avenida Del Vera ,NORTH FORT MYERS,FL,33917
5079,Apples,5261 PALMETTO WOODS DR ,Apples,FL,34119-2817
5080,Apples,850 Central AVE 202,Apples,FL,34102
5081,Apples,850 Central AVE 311,Apples,FL,34102
5082,Apples,850 Central AVE 310,Apples,FL,34102
5083,Apples,1590 Jamaica CT ,MARCO ISLAND,FL,34145
5084,Apples,1188 Galleon DR ,Apples,FL,34102
5085,Apples,3320 RUM ROW ,Apples,FL,34102
5086,Apples,101 8th ST S 209,Apples,FL,34102
5087,Apples,3259 Atlantic CIR ,Apples,FL,34119
5088,Apples,18262 Lagos WAY ,Apples,FL,34110
5089,Apples,8477 Bay Colony DR 1401,Apples,FL,34108
5090,Apples,4400 Gulf Shore BLVD N 3-304,Apples,FL,34103
5091,Apples,7673 Mulberry LN ,Apples,FL,34114
5092,Apples,15315 CORSINI WAY ,Apples,FL,34110
5093,Apples,4731 Bonita Bay BLVD 702,BONITA SPRINGS,FL,34134
5094,Apples,5455 FERRIS AVE ,AVE MARIA,FL,34142
5095,Apples,1813 Canby CT ,MARCO ISLAND,FL,34145
5096,Apples,651 Bridgeway LN ,Apples,FL,34108
5097,Apples,4851 Bonita Bay BLVD 704,BONITA SPRINGS,FL,34134
5098,Apples,7675 Arrowhead WAY ,Apples,FL,34114
5099,Apples,2227 San Marco RD 5-104,MARCO ISLAND,FL,34145
5100,Apples,901 10th AVE S ,Apples,FL,34102
5101,Apples,2231 San Marco RD 5-202,MARCO ISLAND,FL,34145
5102,Apples,2690 Cypress Trace CIR 3222,Apples,FL,34119
5103,Apples,4065 Belair LN ,Apples,FL,34103
5104,Apples,1243 Silver Lakes BLVD 308,Apples,FL,34114
5105,Apples,4991 Bonita Bay BLVD 1901,BONITA SPRINGS,FL,34134
5106,Apples,4991 Bonita Bay Blvd 1702,BONITA SPRINGS,FL,34134
5107,Apples,101 8th ST S 301,Apples,FL,34102
5108,Apples,900 Collier BLVD 207,MARCO ISLAND,FL,34145
5109,Apples,4826 West BLVD ,Apples,FL,34103
5110,Apples,9094 Sahalee CT ,Apples,FL,34113
5111,Apples,1041 Winterberry DR ,MARCO ISLAND,FL,34145
5112,Apples,2422 INDIAN PIPE WAY ,Apples,FL,34105
5113,Apples,5985 Pinnacle LN 2-204,Apples,FL,34110
